Ep (Global): 360/100000 (Sesión: 360) | Steps: 14 | Score: 0 | Total Reward Ep: -64.0 | Epsilon: 0.8352 | Avg Score (100ep): 0.10 | Memory: 5130
Ep (Global): 370/100000 (Sesión: 370) | Steps: 1 | Score: 0 | Total Reward Ep: -101.0 | Epsilon: 0.8311 | Avg Score (100ep): 0.10 | Memory: 5261
Ep (Global): 380/100000 (Sesión: 380) | Steps: 1 | Score: 0 | Total Reward Ep: -101.0 | Epsilon: 0.8269 | Avg Score (100ep): 0.11 | Memory: 5378
Ep (Global): 390/100000 (Sesión: 390) | Steps: 12 | Score: 1 | Total Reward Ep: -92.0 | Epsilon: 0.8228 | Avg Score (100ep): 0.15 | Memory: 5563
Ep (Global): 400/100000 (Sesión: 400) | Steps: 26 | Score: 0 | Total Reward Ep: -26.0 | Epsilon: 0.8187 | Avg Score (100ep): 0.15 | Memory: 5733
Ep (Global): 410/100000 (Sesión: 410) | Steps: 1 | Score: 0 | Total Reward Ep: -101.0 | Epsilon: 0.8146 | Avg Score (100ep): 0.15 | Memory: 5889
Ep (Global): 420/100000 (Sesión: 420) | Steps: 26 | Score: 0 | Total Reward Ep: -26.0 | Epsilon: 0.8105 | Avg Score (100ep): 0.16 | Memory: 6016
Ep (Global): 430/100000 (Sesión: 430) | Steps: 7 | Score: 0 | Total Reward Ep: -57.0 | Epsilon: 0.8065 | Avg Score (100ep): 0.22 | Memory: 6205
Ep (Global): 440/100000 (Sesión: 440) | Steps: 26 | Score: 0 | Total Reward Ep: -26.0 | Epsilon: 0.8025 | Avg Score (100ep): 0.23 | Memory: 6391
Ep (Global): 450/100000 (Sesión: 450) | Steps: 1 | Score: 0 | Total Reward Ep: -101.0 | Epsilon: 0.7985 | Avg Score (100ep): 0.25 | Memory: 6498
Ep (Global): 460/100000 (Sesión: 460) | Steps: 1 | Score: 0 | Total Reward Ep: -101.0 | Epsilon: 0.7945 | Avg Score (100ep): 0.28 | Memory: 6639
Ep (Global): 470/100000 (Sesión: 470) | Steps: 18 | Score: 1 | Total Reward Ep: -48.0 | Epsilon: 0.7905 | Avg Score (100ep): 0.28 | Memory: 6758
Ep (Global): 480/100000 (Sesión: 480) | Steps: 43 | Score: 1 | Total Reward Ep: -23.0 | Epsilon: 0.7866 | Avg Score (100ep): 0.31 | Memory: 6930
Ep (Global): 490/100000 (Sesión: 490) | Steps: 26 | Score: 0 | Total Reward Ep: -26.0 | Epsilon: 0.7827 | Avg Score (100ep): 0.28 | Memory: 7080
Ep (Global): 500/100000 (Sesión: 500) | Steps: 26 | Score: 0 | Total Reward Ep: -26.0 | Epsilon: 0.7788 | Avg Score (100ep): 0.29 | Memory: 7266
Modelo Keras guardado en trained_data/dqn_snake_checkpoint.keras
Checkpoint (modelo Keras y estado de entrenamiento) guardado en episodio 500
Ep (Global): 510/100000 (Sesión: 510) | Steps: 26 | Score: 0 | Total Reward Ep: -26.0 | Epsilon: 0.7749 | Avg Score (100ep): 0.29 | Memory: 7418
Ep (Global): 520/100000 (Sesión: 520) | Steps: 20 | Score: 1 | Total Reward Ep: -50.0 | Epsilon: 0.7710 | Avg Score (100ep): 0.31 | Memory: 7548
Ep (Global): 530/100000 (Sesión: 530) | Steps: 13 | Score: 0 | Total Reward Ep: -63.0 | Epsilon: 0.7672 | Avg Score (100ep): 0.24 | Memory: 7671
Ep (Global): 540/100000 (Sesión: 540) | Steps: 26 | Score: 0 | Total Reward Ep: -26.0 | Epsilon: 0.7633 | Avg Score (100ep): 0.23 | Memory: 7791
Ep (Global): 550/100000 (Sesión: 550) | Steps: 10 | Score: 0 | Total Reward Ep: -60.0 | Epsilon: 0.7595 | Avg Score (100ep): 0.21 | Memory: 7867
Ep (Global): 560/100000 (Sesión: 560) | Steps: 23 | Score: 1 | Total Reward Ep: -103.0 | Epsilon: 0.7557 | Avg Score (100ep): 0.20 | Memory: 8032
Ep (Global): 570/100000 (Sesión: 570) | Steps: 19 | Score: 0 | Total Reward Ep: -69.0 | Epsilon: 0.7520 | Avg Score (100ep): 0.21 | Memory: 8168
Ep (Global): 580/100000 (Sesión: 580) | Steps: 10 | Score: 0 | Total Reward Ep: -60.0 | Epsilon: 0.7482 | Avg Score (100ep): 0.19 | Memory: 8384
Ep (Global): 590/100000 (Sesión: 590) | Steps: 30 | Score: 2 | Total Reward Ep: -90.0 | Epsilon: 0.7445 | Avg Score (100ep): 0.23 | Memory: 8546
