Ep: 490/10000 | Steps: 18 | Score: 0 | Total Reward: -68.0 | Epsilon: 0.7827 | Avg Score (last 100): 0.17 | Memory: 7140
Ep: 500/10000 | Steps: 7 | Score: 0 | Total Reward: -57.0 | Epsilon: 0.7788 | Avg Score (last 100): 0.20 | Memory: 7258
Pesos del modelo guardados en dqn_snake_headless_v4.weights.h5
Ep: 510/10000 | Steps: 32 | Score: 1 | Total Reward: -112.0 | Epsilon: 0.7749 | Avg Score (last 100): 0.20 | Memory: 7422
Ep: 520/10000 | Steps: 24 | Score: 0 | Total Reward: -74.0 | Epsilon: 0.7710 | Avg Score (last 100): 0.20 | Memory: 7543
Ep: 530/10000 | Steps: 1 | Score: 0 | Total Reward: -101.0 | Epsilon: 0.7672 | Avg Score (last 100): 0.20 | Memory: 7709
Ep: 540/10000 | Steps: 18 | Score: 0 | Total Reward: -68.0 | Epsilon: 0.7633 | Avg Score (last 100): 0.20 | Memory: 7837
Ep: 550/10000 | Steps: 27 | Score: 3 | Total Reward: -17.0 | Epsilon: 0.7595 | Avg Score (last 100): 0.26 | Memory: 7952
Ep: 560/10000 | Steps: 9 | Score: 0 | Total Reward: -59.0 | Epsilon: 0.7557 | Avg Score (last 100): 0.22 | Memory: 8108
Ep: 570/10000 | Steps: 26 | Score: 0 | Total Reward: -26.0 | Epsilon: 0.7520 | Avg Score (last 100): 0.20 | Memory: 8246
Ep: 580/10000 | Steps: 36 | Score: 1 | Total Reward: -66.0 | Epsilon: 0.7482 | Avg Score (last 100): 0.20 | Memory: 8385
Ep: 590/10000 | Steps: 12 | Score: 1 | Total Reward: -42.0 | Epsilon: 0.7445 | Avg Score (last 100): 0.19 | Memory: 8480
Ep: 600/10000 | Steps: 22 | Score: 0 | Total Reward: -72.0 | Epsilon: 0.7408 | Avg Score (last 100): 0.16 | Memory: 8634
Ep: 610/10000 | Steps: 21 | Score: 0 | Total Reward: -71.0 | Epsilon: 0.7371 | Avg Score (last 100): 0.18 | Memory: 8790
Ep: 620/10000 | Steps: 26 | Score: 0 | Total Reward: -26.0 | Epsilon: 0.7334 | Avg Score (last 100): 0.22 | Memory: 8998
Ep: 630/10000 | Steps: 8 | Score: 0 | Total Reward: -58.0 | Epsilon: 0.7297 | Avg Score (last 100): 0.26 | Memory: 9131
Ep: 640/10000 | Steps: 26 | Score: 0 | Total Reward: -26.0 | Epsilon: 0.7261 | Avg Score (last 100): 0.27 | Memory: 9294
Ep: 650/10000 | Steps: 19 | Score: 0 | Total Reward: -69.0 | Epsilon: 0.7225 | Avg Score (last 100): 0.26 | Memory: 9494
Ep: 660/10000 | Steps: 14 | Score: 1 | Total Reward: -44.0 | Epsilon: 0.7189 | Avg Score (last 100): 0.29 | Memory: 9650
Ep: 670/10000 | Steps: 8 | Score: 0 | Total Reward: -58.0 | Epsilon: 0.7153 | Avg Score (last 100): 0.31 | Memory: 9788
Ep: 680/10000 | Steps: 1 | Score: 0 | Total Reward: -101.0 | Epsilon: 0.7117 | Avg Score (last 100): 0.30 | Memory: 9957
Ep: 690/10000 | Steps: 1 | Score: 0 | Total Reward: -101.0 | Epsilon: 0.7082 | Avg Score (last 100): 0.30 | Memory: 10111
Ep: 700/10000 | Steps: 20 | Score: 1 | Total Reward: -100.0 | Epsilon: 0.7046 | Avg Score (last 100): 0.32 | Memory: 10277
Ep: 710/10000 | Steps: 1 | Score: 0 | Total Reward: -101.0 | Epsilon: 0.7011 | Avg Score (last 100): 0.29 | Memory: 10375
Ep: 720/10000 | Steps: 23 | Score: 1 | Total Reward: -103.0 | Epsilon: 0.6976 | Avg Score (last 100): 0.31 | Memory: 10595
Ep: 730/10000 | Steps: 26 | Score: 0 | Total Reward: -26.0 | Epsilon: 0.6941 | Avg Score (last 100): 0.31 | Memory: 10828
Ep: 740/10000 | Steps: 1 | Score: 0 | Total Reward: -101.0 | Epsilon: 0.6907 | Avg Score (last 100): 0.33 | Memory: 11022
Ep: 750/10000 | Steps: 26 | Score: 0 | Total Reward: -26.0 | Epsilon: 0.6872 | Avg Score (last 100): 0.30 | Memory: 11210
Ep: 760/10000 | Steps: 26 | Score: 0 | Total Reward: -26.0 | Epsilon: 0.6838 | Avg Score (last 100): 0.29 | Memory: 11397
Ep: 770/10000 | Steps: 26 | Score: 0 | Total Reward: -26.0 | Epsilon: 0.6804 | Avg Score (last 100): 0.27 | Memory: 11527
Ep: 780/10000 | Steps: 18 | Score: 0 | Total Reward: -68.0 | Epsilon: 0.6770 | Avg Score (last 100): 0.33 | Memory: 11772
Ep: 790/10000 | Steps: 1 | Score: 0 | Total Reward: -101.0 | Epsilon: 0.6736 | Avg Score (last 100): 0.34 | Memory: 11985
Ep: 800/10000 | Steps: 19 | Score: 0 | Total Reward: -69.0 | Epsilon: 0.6703 | Avg Score (last 100): 0.34 | Memory: 12144
Ep: 810/10000 | Steps: 21 | Score: 0 | Total Reward: -71.0 | Epsilon: 0.6669 | Avg Score (last 100): 0.37 | Memory: 12320
Ep: 820/10000 | Steps: 12 | Score: 1 | Total Reward: -42.0 | Epsilon: 0.6636 | Avg Score (last 100): 0.34 | Memory: 12455
Ep: 830/10000 | Steps: 39 | Score: 3 | Total Reward: -79.0 | Epsilon: 0.6603 | Avg Score (last 100): 0.38 | Memory: 12656
Ep: 840/10000 | Steps: 18 | Score: 0 | Total Reward: -68.0 | Epsilon: 0.6570 | Avg Score (last 100): 0.36 | Memory: 12831
Ep: 850/10000 | Steps: 1 | Score: 0 | Total Reward: -101.0 | Epsilon: 0.6537 | Avg Score (last 100): 0.36 | Memory: 13052
Ep: 860/10000 | Steps: 26 | Score: 0 | Total Reward: -26.0 | Epsilon: 0.6504 | Avg Score (last 100): 0.39 | Memory: 13205
Ep: 870/10000 | Steps: 26 | Score: 0 | Total Reward: -26.0 | Epsilon: 0.6472 | Avg Score (last 100): 0.47 | Memory: 13357
Ep: 880/10000 | Steps: 14 | Score: 1 | Total Reward: -44.0 | Epsilon: 0.6440 | Avg Score (last 100): 0.45 | Memory: 13488
Ep: 890/10000 | Steps: 10 | Score: 0 | Total Reward: -60.0 | Epsilon: 0.6408 | Avg Score (last 100): 0.49 | Memory: 13664
Ep: 900/10000 | Steps: 1 | Score: 0 | Total Reward: -101.0 | Epsilon: 0.6376 | Avg Score (last 100): 0.49 | Memory: 13789
Ep: 910/10000 | Steps: 13 | Score: 1 | Total Reward: -43.0 | Epsilon: 0.6344 | Avg Score (last 100): 0.47 | Memory: 13934
