C:\Users\hcost\Desktop\Snake IA\snake-QL>pipenv run python trainer_v2.py --no-visualize --reset --episodes=10000 
No se encontró 'trained_data/snake_q_table_v2.pkl'. Se iniciará un nuevo entrenamiento desde cero.
Fichero de Tabla Q no encontrado en trained_data/snake_q_table_v2.pkl. Se usará una tabla vacía y epsilon inicial.
Epsilon reiniciado a: 1.0000 debido a --reset.
Iniciando entrenamiento para 10000 episodios...
Visualización: Desactivada
Ep: 4400/10000 | Steps: 172 | Score: 180 | Total Reward: 62.8 | Epsilon: 0.0123 | Avg Score (actual): 179.30
Ep: 4500/10000 | Steps: 154 | Score: 150 | Total Reward: 34.6 | Epsilon: 0.0111 | Avg Score (actual): 181.40
Ep: 4600/10000 | Steps: 131 | Score: 140 | Total Reward: 26.9 | Epsilon: 0.0100 | Avg Score (actual): 187.70
Ep: 4700/10000 | Steps: 173 | Score: 150 | Total Reward: 32.7 | Epsilon: 0.0091 | Avg Score (actual): 181.80
Ep: 4800/10000 | Steps: 181 | Score: 200 | Total Reward: 81.9 | Epsilon: 0.0082 | Avg Score (actual): 172.40
Ep: 4900/10000 | Steps: 184 | Score: 200 | Total Reward: 81.6 | Epsilon: 0.0074 | Avg Score (actual): 176.50
Ep: 5000/10000 | Steps: 193 | Score: 230 | Total Reward: 110.7 | Epsilon: 0.0067 | Avg Score (actual): 192.40
Tabla Q y epsilon guardados en trained_data/snake_q_table_v2.pkl
Ep: 5100/10000 | Steps: 98 | Score: 90 | Total Reward: -19.8 | Epsilon: 0.0061 | Avg Score (actual): 201.10
Ep: 5200/10000 | Steps: 286 | Score: 270 | Total Reward: 141.4 | Epsilon: 0.0055 | Avg Score (actual): 230.20
Ep: 5300/10000 | Steps: 264 | Score: 270 | Total Reward: 143.6 | Epsilon: 0.0050 | Avg Score (actual): 213.70
Ep: 5400/10000 | Steps: 263 | Score: 250 | Total Reward: 123.7 | Epsilon: 0.0045 | Avg Score (actual): 211.70
Ep: 5500/10000 | Steps: 201 | Score: 190 | Total Reward: 119.9 | Epsilon: 0.0041 | Avg Score (actual): 205.00
Ep: 5600/10000 | Steps: 361 | Score: 270 | Total Reward: 133.9 | Epsilon: 0.0037 | Avg Score (actual): 206.80
Ep: 5700/10000 | Steps: 213 | Score: 170 | Total Reward: 48.7 | Epsilon: 0.0033 | Avg Score (actual): 198.00
Ep: 5800/10000 | Steps: 215 | Score: 170 | Total Reward: 48.5 | Epsilon: 0.0030 | Avg Score (actual): 168.10
Ep: 5900/10000 | Steps: 242 | Score: 160 | Total Reward: 35.8 | Epsilon: 0.0027 | Avg Score (actual): 191.10
Ep: 6000/10000 | Steps: 238 | Score: 190 | Total Reward: 66.2 | Epsilon: 0.0025 | Avg Score (actual): 204.50
Tabla Q y epsilon guardados en trained_data/snake_q_table_v2.pkl
Ep: 6100/10000 | Steps: 406 | Score: 340 | Total Reward: 199.4 | Epsilon: 0.0022 | Avg Score (actual): 193.60
Ep: 6200/10000 | Steps: 106 | Score: 100 | Total Reward: -10.6 | Epsilon: 0.0020 | Avg Score (actual): 180.30
Ep: 6300/10000 | Steps: 308 | Score: 250 | Total Reward: 119.2 | Epsilon: 0.0018 | Avg Score (actual): 196.70
Ep: 6400/10000 | Steps: 202 | Score: 180 | Total Reward: 109.8 | Epsilon: 0.0017 | Avg Score (actual): 202.20
Ep: 6500/10000 | Steps: 177 | Score: 150 | Total Reward: 32.3 | Epsilon: 0.0015 | Avg Score (actual): 210.50
Ep: 6600/10000 | Steps: 372 | Score: 290 | Total Reward: 152.8 | Epsilon: 0.0014 | Avg Score (actual): 223.50
Ep: 6700/10000 | Steps: 340 | Score: 270 | Total Reward: 136.0 | Epsilon: 0.0012 | Avg Score (actual): 215.60
Ep: 6800/10000 | Steps: 396 | Score: 280 | Total Reward: 140.4 | Epsilon: 0.0011 | Avg Score (actual): 269.90
Ep: 6900/10000 | Steps: 162 | Score: 130 | Total Reward: 13.8 | Epsilon: 0.0010 | Avg Score (actual): 236.30
Ep: 7000/10000 | Steps: 436 | Score: 320 | Total Reward: 226.4 | Epsilon: 0.0009 | Avg Score (actual): 240.20
Tabla Q y epsilon guardados en trained_data/snake_q_table_v2.pkl
Ep: 7100/10000 | Steps: 241 | Score: 210 | Total Reward: 135.9 | Epsilon: 0.0008 | Avg Score (actual): 228.50
Ep: 7200/10000 | Steps: 298 | Score: 210 | Total Reward: 80.2 | Epsilon: 0.0007 | Avg Score (actual): 216.50
Ep: 7300/10000 | Steps: 262 | Score: 210 | Total Reward: 83.8 | Epsilon: 0.0007 | Avg Score (actual): 238.70
Ep: 7400/10000 | Steps: 223 | Score: 190 | Total Reward: 67.7 | Epsilon: 0.0006 | Avg Score (actual): 245.20
Ep: 7500/10000 | Steps: 468 | Score: 350 | Total Reward: 303.2 | Epsilon: 0.0006 | Avg Score (actual): 236.00
Ep: 7600/10000 | Steps: 67 | Score: 70 | Total Reward: 13.3 | Epsilon: 0.0005 | Avg Score (actual): 218.00
Ep: 7700/10000 | Steps: 171 | Score: 160 | Total Reward: 42.9 | Epsilon: 0.0005 | Avg Score (actual): 223.20
Ep: 7800/10000 | Steps: 430 | Score: 240 | Total Reward: 97.0 | Epsilon: 0.0004 | Avg Score (actual): 216.40
Ep: 7900/10000 | Steps: 218 | Score: 150 | Total Reward: 28.2 | Epsilon: 0.0004 | Avg Score (actual): 243.20
Ep: 8000/10000 | Steps: 274 | Score: 200 | Total Reward: 72.6 | Epsilon: 0.0003 | Avg Score (actual): 238.20
Tabla Q y epsilon guardados en trained_data/snake_q_table_v2.pkl
Ep: 8100/10000 | Steps: 209 | Score: 200 | Total Reward: 79.1 | Epsilon: 0.0003 | Avg Score (actual): 194.80
Ep: 8200/10000 | Steps: 356 | Score: 290 | Total Reward: 154.4 | Epsilon: 0.0003 | Avg Score (actual): 217.90
Ep: 8300/10000 | Steps: 402 | Score: 280 | Total Reward: 189.8 | Epsilon: 0.0002 | Avg Score (actual): 208.50
Ep: 8400/10000 | Steps: 220 | Score: 200 | Total Reward: 78.0 | Epsilon: 0.0002 | Avg Score (actual): 189.40
Ep: 8500/10000 | Steps: 193 | Score: 150 | Total Reward: 30.7 | Epsilon: 0.0002 | Avg Score (actual): 216.00
Ep: 8600/10000 | Steps: 218 | Score: 220 | Total Reward: 98.2 | Epsilon: 0.0002 | Avg Score (actual): 219.70
Ep: 8700/10000 | Steps: 217 | Score: 170 | Total Reward: 48.3 | Epsilon: 0.0002 | Avg Score (actual): 229.20
Ep: 8800/10000 | Steps: 521 | Score: 290 | Total Reward: 187.9 | Epsilon: 0.0002 | Avg Score (actual): 230.20
Ep: 8900/10000 | Steps: 445 | Score: 280 | Total Reward: 135.5 | Epsilon: 0.0001 | Avg Score (actual): 227.60
Ep: 9000/10000 | Steps: 292 | Score: 180 | Total Reward: 100.8 | Epsilon: 0.0001 | Avg Score (actual): 167.00
Tabla Q y epsilon guardados en trained_data/snake_q_table_v2.pkl
Ep: 9100/10000 | Steps: 337 | Score: 140 | Total Reward: 106.3 | Epsilon: 0.0001 | Avg Score (actual): 205.70
Ep: 9200/10000 | Steps: 208 | Score: 120 | Total Reward: 99.2 | Epsilon: 0.0001 | Avg Score (actual): 147.10
Ep: 9300/10000 | Steps: 231 | Score: 170 | Total Reward: 46.9 | Epsilon: 0.0001 | Avg Score (actual): 200.70
Ep: 9400/10000 | Steps: 299 | Score: 210 | Total Reward: 80.1 | Epsilon: 0.0001 | Avg Score (actual): 200.70
Ep: 9500/10000 | Steps: 369 | Score: 230 | Total Reward: 93.1 | Epsilon: 0.0001 | Avg Score (actual): 208.40
Ep: 9600/10000 | Steps: 464 | Score: 320 | Total Reward: 173.6 | Epsilon: 0.0001 | Avg Score (actual): 202.10
Ep: 9700/10000 | Steps: 197 | Score: 150 | Total Reward: 30.3 | Epsilon: 0.0001 | Avg Score (actual): 212.20
Ep: 9800/10000 | Steps: 289 | Score: 190 | Total Reward: 61.1 | Epsilon: 0.0001 | Avg Score (actual): 211.00
Ep: 9900/10000 | Steps: 250 | Score: 200 | Total Reward: 125.0 | Epsilon: 0.0000 | Avg Score (actual): 215.20
Ep: 10000/10000 | Steps: 531 | Score: 370 | Total Reward: 266.9 | Epsilon: 0.0000 | Avg Score (actual): 197.60
Tabla Q y epsilon guardados en trained_data/snake_q_table_v2.pkl
